,Review,Sentiment
0,beautiful package bintang safety nya,netral
1,tipe kulit kering,netral
2,kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,positif
3,top,positif
4,tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,negatif
5,exp,netral
6,no review found,netral
7,banget sih beli bagus banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka muncul,positif
8,tipe kulit minyak,netral
9,tipe kulit minyak kulit pori,netral
10,tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,negatif
11,barang sesuai pesan,positif
12,kirim oke saran facial wash nya fragrance biar bau enak bau nyaman,netral
13,moga cocok cocok banget pakai,positif
14,kirim cepat mantap,positif
15,alhamdulillah barang emas barang ok thank you kurir sicepat team avoskin,positif
16,bahan gampang serap,netral
17,bagus,positif
18,bagus,positif
19,oke,positif
20,gratis mini pouch terima kasih moga cocok,positif
21,alhamdulillah barang moga cocok selau harga diskon yes,positif
22,cocok produk,positif
23,kali kali beli toko official kali beli amanah thanks,netral
24,barang nya oke,positif
25,tipe kulit minyak tipe kulit sensitif kulit pori,negatif
26,tipe kulit minyak tipe kulit sensitif,negatif
27,so far so good for daily use,netral
28,tipe kulit kombinasi pakai hasil moga cocok ya,positif
29,tipe kulit kombinasi kulit jerawat kulit pori,netral
30,coba moga cocok kulit,positif
31,kemarin coba cocok tekstur ringan mudah blend whitecast oily apply bagus banget moga diskon,positif
32,moga manjur exfoliasi wajah,netral
33,doesn smell as nice as other brands very chemical,netral
34,tipe kulit normal,netral
35,nemu serum cocok,positif
36,tipe kulit kering thanks seller tokped,netral
37,good product thanks seller,netral
38,terima kasih barang terima,positif
39,produk bocor apply muka asa lembab,negatif
40,keluar sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah jerawat kayak,netral
41,paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian,positif
42,coba tau hasil,netral
43,yeey deh moga cocok kulit biar tetap produk avoskin,positif
44,barang selamat packaging bagus sesuai order,positif
45,barang coba moga cocok,positif
46,always the best sih sih avoo thanks avo cocok kece hasil,positif
47,tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,negatif
48,tipe kulit kombinasi kulit kerut kulit pori,negatif
49,beli sekian kali,netral
50,rugi banget sesal beli toner coba paling merk bikin kecewa avoskin beli ml kirim ml aaaaaa chat solusi suruh tunggu senin bikin tambah emosi review rating ganti senin solusi ganti rugi,negatif
51,alhamdulillah seller komunikatif gercep coba produk moga cocok amin,positif
52,tipe kulit normal oily pori gede komedo hidung moga bantu ya xixi,netral
53,thank you selamat,positif
54,kulit jerawat,netral
55,tipe kulit kombinasi,netral
56,tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,negatif
57,andal exfo malam terima kasih tokped asih promo harga,positif
58,pakai sekian kali cocok toko percaya,positif
59,deh ragu kalo avo mah,netral
60,tipe kulit minyak serum resap ringan wajah bikin lengket moga benar cerah ya,positif
61,tipe kulit minyak kulit pori kulit jerawat,netral
62,barang orisinal,netral
63,coba moga cocok bagus kulit,positif
64,coba moga cocok hasil bagus amin,positif
65,coba moga cocok,positif
66,barang mantap muas,positif
67,bikin wajah lembab minyak cocok,positif
68,kualitas serum moisturizer avoskin top habis deh worthed buy emas super rapi kirim cepat,positif
69,sesuai harga murce diskon,positif
70,pesan resi nya tulis pcs salah divideoin percaya beli eeeehh ya divideoin foto doang,netral
71,moga cocok,positif
72,barang selamat jual responsif terima kasih,positif
73,beli mama cocok banget mama usia mama pakai kulit mulus kerut kurang repurchase kali,positif
74,exp alhamdulillah moga cocok coba pakai retinol pakai refining suka banget,positif
75,lembut bagus kulit normal dry sensitif cocok kulit minyak jerawat pump,positif
76,kirim oke exp produk serum exp toner mending,positif
77,bagus cream mata kurang mata panda mata segar pokok mantap deh,positif
78,toner keren avoskin,positif
79,sunscreen baik,positif
80,produk avoskin kecewa,negatif
81,packagingnya oke coba produk so far toner oke mudah cocok sih toner serum,positif
82,bahan ringan coba moga cocok,positif
83,tipe kulit minyak jerawat moga cocok pakai rangkain avoskin moisturizer pakai hasil oke tinggal serum thank you seller tokped,positif
84,packaging super safe rapi selamat tangan,positif
85,packaging nya rapi super safe segel produk aman tang,positif
86,kirim cepat emas aman barang sesuai expired aman,positif
87,tipe kulit minyak kulit pori kulit kerut tipe kulit sensitif,negatif
88,gel mudah serap travel size pas katup plastik kadang suka rapat mudah tumpah,positif
89,tipe kulit kering tipe kulit sensitif,negatif
90,pakai serum vit avoskin bagus rajin pakai pagi bekas jerawat hempas,netral
91,enak banget pakai oily dry mula exfo cocok banget,positif
92,paket pesan jum at senin siang diskon ribu cashback ribu gopay coin free ongkir btw serum cocok banget treatment dermapen ya bekas jerawat pudar,netral
93,paket packing rapi pakai produk cocok puffiness mata kurang thanks,positif
94,beli serum ampuh eksfoliasi coba tonernya,netral
95,coba mudah an cocok packing suka ngt,positif
96,exp diskon packingan suka beli,positif
97,tipe kulit minyak tipe kulit sensitif kulit kerut kulit pori kulit jerawat tipe kulit kombinasi,negatif
98,kulit jerawat tipe kulit sensitif kulit kerut tipe kulit minyak moga cocok serum packing rapi,positif
99,kulit kerut tipe kulit kering,negatif
100,kirim cepat barang sesuai gambar,positif
101,masyaallah harga diskon terima kasih seller,positif
102,kulit glowing suka banget masker avoskin,positif
103,tipe kulit normal moga cocok coba produk,positif
104,tipe kulit minyak kulit jerawat kulit pori kulit kerut,negatif
105,bagus produk nya terima kasih,positif
106,cocok kulit wajah melembabkan ed beli stok mumpung diskon,positif
107,tipe kulit normal alhamdulillah cocok sajja thank you for everyone hulu hilir thanks lot kasih diskon moga laris sukses ya love all,positif
108,tipe kulit minyak cocok,positif
109,cocok pakai alpha arbutin coba tipe kulit sensitif kulit pori,positif
110,toner exfo mantap,positif
111,repurchase sekian kali harga bawah mantap avo,positif
112,pesan terima emas aman terima kasih,positif
113,tekstur nya ringan gampang blend nyaman kulit acneprone oily parah moga cocok ubah biar next order tipe kulit sensitif kulit jerawat kulit pori tipe kulit minyak tipe kulit kering,negatif
114,coba moga cocok terima kasih seller fan tokped tipe kulit kering,positif
115,ingredients nya bikin penasaran pengin coba repurchase produk avo cocok aaaa,positif
116,kirim banget tolong ganti kurir,netral
117,emas oke moga cocok,positif
118,ok moga cocok,positif
119,bintang pertama dikirimin expired beli harga normal beli chat beda harga normal sale sale expired normal expired return ganti expired proses return nya ribet banget expedisi sicepat pick up maksud teliti buang urus return nya moga depan teliti ya packing aman bagus admin responsive thank you,positif
120,packing aman expired,positif
121,huhu serum nya cepat banget kirim beli harga diskon pakai moga cocok muka ku tipe kulit normal,positif
122,tipe kulit sensitif,negatif
123,paket lempar kurir ya tulis fragile dus,netral
124,barang kali coba moga cocok,positif
125,serum baik baik skin barier rusak pakai serum hasil jerawat muncul kulit rewel please produksi serum pakai kulit,positif
126,cari alternatif ingredients samar bekas jerawat cocok vit niacin alpha arbutin,negatif
127,pakai ngefek banget kulit bikin lembab beruntus dibarengin refining tonernya,netral
128,tipe kulit minyak kulit jerawat,netral
129,tipe kulit normal cepat resap kulit,positif
130,bagus suka,positif
131,pesan tanggal kirim tanggal tanggal bawa terbang kecewa kali layan senang produk bagus guna avoskin,netral
132,pesan tanggal kirim tanggal tanggal bawa terbang kecewa kali layan senang,netral
133,pesan tanggal kirim tanggal tanggal bawa terbang kecewa kali layan senang produk bagus guna setia avoskin,positif
134,oke banget sih admin detail,positif
135,produk bungkus kardus bolong bolong bikin trigger trypophobia norak banget,negatif
136,ringan muka cocok kulit minyak pakai minggu aman muka,positif
137,kali coba moga cocok,positif
138,mantap puas,positif
139,coba,netral
140,pesan sesuai gambar,positif
141,avoskin seri miraculous ragu sih repurchase botol botol packagingnya botol plastik botol kaca teman teman kulit kusam whitehead blackhead wajib produk sih best,negatif
142,bismillah moga cocok,positif
143,harga murce pakai voc beli lokal coba moga cocok,positif
144,pakai mantul banget serum alpha malam pakai pagi glowing,netral
145,clearance sale produk exp mantap,positif
146,pakai minggu lumayan ngaruh tipe kulit wajah minyak,positif
147,pakai produk,netral
148,pliket kulit timbul jerawat tipe kulit kombinasi,netral
149,the best terima kasih ya,positif
150,andal beruntus,netral
151,produk original muas,netral
152,kecewa pesan sesuai deskripsi display foto pesan mes paket skincare loveable exfoliating kit for oily isi skincare salycylic acid serum moisturizer lactic acid sesuai pes moisturizernya salah lupa me record vidio unboxing aju complain moga tim avoskin teliti,negatif
153,pakai cekit cekit ya besok pagi langsung glowing oiya pakenya kulit sensitif,negatif
154,mantap,positif
155,beli,netral
156,botol berapa cocok,positif
157,tipe kulit minyak kulit jerawat kulit pori,netral
158,bagus,positif
159,packingan rapi bagus,positif
160,eks packinganny aman banget pakai kerdus paperwrap alhamdulillah cocok muka jerawat emas cepat and kirim super cepat,positif
161,bagus kulit jerawat kirim cepat aman terima kasih seller,positif
162,coba,netral
163,spf tering cocok kulit kemas mungil traveling friendly,positif
164,produk sesuai coba hidrasi,positif
165,tipe kulit minyak moga cocok,positif
166,pakai serum cerah tekstur bening kental kirim super minggu,positif
167,beli sekian kali kulit kenyal sehat muda,positif
168,tipe kulit kombinasi kulit kerut,negatif
169,phte avoskin bagus kelembaban pas kulit oily acne prone habis botol phte,positif
170,exp mantap,positif
171,tipe kulit minyak tipe kulit sensitif kulit kerut kulit jerawat kulit pori tipe kulit kombinasi,negatif
172,exp,netral
173,kulit kerut kulit jerawat tipe kulit kering,negatif
174,langgan official store jamin asli produk thanks,positif
175,ringan gampang serap,netral
176,oke min coba ya,positif
177,oke min coba ya,positif
178,serum avoskin pertama repurchase cocok kulit kering efek glowing kirim jogja jakarta minggu,positif
179,ok,netral
180,aman alhamdulillah diskon ribu tokped yaampun terima kasih stay tune tokped diskon,positif
181,packaging nya aman echo friendly,positif
182,tipe kulit normal tipe kulit kombinasi,netral
183,ok kirim cepat kali coba varian moga cocok,positif
184,tipe kulit minyak cocok pakai serum,positif
185,repurchase cocok banget kalo kombinasi ysb alpha arbutin hilang bekas jerawat hitam,negatif
186,barang debu banget moga mah dalem aman,positif
187,eksfoliasi banget recommend pakai avoskin cocok moga cocok kulit langgan avoskin kali coba toner eksfoliasi kemarin serum lactacid acid kemas ampeg bagus safety,positif
188,pakai rutin tidur minggu hasil signifikan,netral
189,tipe kulit kombinasi kulit pori,netral
190,coba moga cocok,positif
191,kulit jerawat kulit pori tipe kulit sensitif banget ukur,negatif
192,kualitas produk sesuai deskripsi barang terima kondisi kirim cepat respon seller terima kasih,positif
193,senang kali emas kirim cepat lupa diskon coba malam moga cocok terima kasih avoskin,positif
194,kali coba sih moga cocok kirim packaging ragu ya,positif
195,barang kondisi hasil tau so coba produk,netral
196,first time trying this avo toner hopefully works on my skin overall well packaged coz there is no plastic and very sustainable but takes time lil bit longer tahan expect,netral
197,nyampainya kurir pick up paket responnya komplain untung skincare rutin pakai avoskin tonernya doang,negatif
198,nice,netral
199,avoskin the best cocok banget harga relatif jangkau,positif
200,gacha exp skincare,netral
201,bahan cair kental gampang serap cocok kulit sensitif,positif
202,packaging nya ramah lingkung nice,positif
203,kirim barang aman,positif
204,mantul dah pokok,netral
205,fyi face wash avoskin ubah viscosity tumpah sabun tumpah beli kecuali niat baik brand ya jual barang tumpah percaya nya customer service bilang kualitas bagus salah sila cek ulas customer komennya batch produk viscosity ubah ya encer mending beli thanks rugi,netral
206,beli hte vakum ubah botol kaca plastik paket pesan jumat sore salah sih paket aman sentosa,netral
207,ok barang deh exp date moga cocok,positif
208,packingan oke moga cocok,positif
209,coba moga cocok terima kasih bonus,positif
210,cabe rawit,netral
211,barang aman rusak moga kulit cocok,netral
212,aman,positif
213,packing keren barang mantap deh haru produk bagus beli store mall pas malas belanja hidup penuh kerja lapor kantor,netral
214,banget kirim apa,netral
215,beli so far so good exp date,netral
216,ok barang deh moga cocok coba varian exp date,positif
217,paket terima kasih packing aman kondisi barang terima kasih freebiesnya,positif
218,coba moga cocok packaging aman kirim cepat overall good,positif
219,beli kirim kirim kondisi barang terima buka segel nya,netral
220,proses kirim cepat product packaging sesuai deskripsi avoskin ok sih cocok brush nya keras,positif
221,cocok produk avoskin terima kasih min kasih bonus kaca,positif
222,packaging bagus banget aman banget produk bibir kering melembabkan oles bagus produk warna pink nya bikin efek bibir sehat bibir hitam,positif
223,mantul sih pagi halus,positif
224,packaging aman proses emas tahap kirim,positif
225,tonernya bagus banget bikin kulit halus besok pagi pokok mantap,positif
226,diskon,netral
227,kecewa kirim nya banget,negatif
228,packing aman barang terima beli moga cocok muka kirim,positif
229,bagus banget cuman ngirimnya salut admin sabar profesional jalan tugas fast respon,positif
230,serum hyaluronic acid bikin kulit plump glowing glass skin tekstur gel thick lengket pas apply harga jangkau,netral
231,terima kasih murah banget moga berkah ya moga cocok,positif
232,mudah serap lembab nice produk,positif
233,gampang serap melembabkan pudar bekas jerawat,negatif
234,kali coba toner eksfoliasi avoskin moga cocok deh,positif
235,produk sesuai packing aman kirim cepat,positif
236,imut,positif
237,coba moga cocok,positif
238,segel aman,positif
239,segel kotak buka,netral
240,segel kotak buka,netral
241,oke,positif
242,order tanggal request pick up tanggal pick up tanggal beli tanggal apa kualitas barang bagus kasih bintang,positif
243,bahan ringan aroma cair pakai aman bikin kulit kering telah moga cocok depan,positif
244,bismillah moga cocok,positif
245,emas banget,positif
246,bagus packing nya aman kirim nya minggu barang nya banget kalo toko oren bandung,positif
247,mantap,positif
248,barang proses beli pcs bayar pcs pcs lambat kirim terima kasih alam belanja,positif
249,mudah mudah cocok reviewnya bagus,positif
250,oke kadang suka proses,positif
251,alhamdulillah aman,positif
252,isi penuh kecewa,netral
253,serum favorit beli pas clearence sale harga affdorable banget kayak cantik bersihin kali ya debu nya barang beli barang clearance puas belanja,positif
254,repurchase serum cinta,positif
255,pakai langsung ngeresap enak banget moga uas pakai serum,positif
256,ok moga cocok,positif
257,ok coba,netral
258,ok coba moga cocok,positif
259,pakai moga cocok,positif
260,coba pakai sih moga cocok kulit wajah ku,positif
261,kirim cepat kali order toner excellent,positif
262,kirim cepat kualitas,positif
263,cocok pakai serum aman iritasi kulit,positif
264,mantap pakai voucher,positif
265,kemas ramah lingkung aman moga cocok serum buat anak bangsa,positif
266,terima kasih kak serum avoskinnya kali pakai moga cocok kulit ku bantu samar noda bekas jerawat,netral
267,gapapa jogja coba moga cocok eaa,positif
268,kirim aman banget worry kemas botol kaca,positif
269,coba travel kit cocok exp sih maret,positif
270,banget tumben apa alhamdulillah beli harga cuci gudang banget exp akkk terima kasih avoskin,positif
271,kirim aga pesan tanggal pakai produk avoskin kulit penasaran reviewnya kaya bagus soldout beli prmo harga ribu thanku tokped,positif
272,taro meja senggol bantu alhasil pecah,negatif
273,botol bagus paket ngirimnya lumayan ya terima kasih bonus cermin,positif
274,serum cinta sih cabe rawit bik kulit mulus aaa love banget harga bikin dompet kering ya promo yhh minvoo hihii btw avoskin packagingnya juara kirim pakai kardus kertas cakep gulung really love avoskin mwahh,positif
275,moga cocok,positif
276,kali coba tonernya moga cocok,positif
277,langgan cocok pakai serum thanks seller,positif
278,serum cair banget pakai asa banget efek,netral
279,sesuai pesan,positif
280,suka banget pakai serum aa cocok kulit alhamdulillah,positif
281,kombinasiin avoskin seri ysb hasil bagus kulit emas toko cepat ekspedisi banget bogor,positif
282,iseng checkout travel kit coba takut cocok pakai avoskin inbox csnya pakai bareng ampoulenya devine aura pas coba besok pagi beda jerawat langsung kempes kulit lembab oily kasih banding picnya serum versi ya,netral
283,cepat banget nya cool packaging too produk aman pecah terima kasih mas kurir seller nya,positif
284,beli warna kuning ya pakai efek negatif sih,netral
285,habis pakai botol benar ngilangi bekas rutin rajin,netral
286,produk rilis coba diskon moga cocok,positif
287,bahan gel bening coklat pakai ysb moga cocok cz beli ijo gentle wash nya,positif
288,beli toner kirim serum,netral
289,beli kirim,netral
290,bagus banget kulit oily hilang bruntusan kecil pori,positif
291,ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller,positif
292,barang terima expired,netral
293,best combo malam pakai toner exfo alpha arbutin,netral
294,toner sayang banget pakai pakai serum retinolnya avoskin tekstur cair kentel lengket cinta banget pas beli kemarin harga murah cashback huhu lovee terima kasih tokopedia avoskin,positif
295,terima kasih giftnya,positif
296,pakai langsung licin muka gilasiiihh,netral
297,paket kemas aman pakai kali alhamdulillah cocok,positif
298,kualitas problem sih proses kirim libur,netral
299,tekstur nya cair beli ragu beli official store tekstur cair cocok kemas tube produk nya nya pakai boros kalo customer service nya turus viskositas turus kualitas ya buka turus viskositas,negatif
300,packingnya aman,positif
301,kirim banget minggu,netral
302,bahan ringan lembab cocok kulit kering,positif
303,beli serum hyaluron sekian kali cocok bikin kulit lembab terima kasih cermin nya kak,positif
304,pakai avoskin kali coba toner ysb vit kali moga cocok terima kasih bonus kak,positif
305,cocok kulit kirim,positif
306,kasih free pouch banget butuh pouch skinker ah happy banget terima kasih ya,positif
307,sayang cocok kulit sensitif bikin kulit kering kasar,positif
308,coba moga cocok packing aman,positif
309,coba tonernya moga cocok,positif
310,pesan tanggal tanggal tau alas jadwal payday double date bintang kurir pilih toko,netral
311,kali produk retinol niacinamide konsistensi kental toner salah tuang kapas usap muka suka produk serum kayak resap banget bikin kulit kayak minyak sih ubah signifikan ya minggu pakai lumayan kelupas banget kulit which is good pakai retinol cepat peluruh kulit mati kulit kenyal suka baik botol mereview botol tutup tempel produk tumpah bawa traveling good job,positif
312,review gin pakai minggu baru reviewnya,netral
313,mantul banget,netral
314,alhamdulillaah packingan bagus plastik cocok kulit wajah beli diskon voucher,positif
315,harga clearance expired tuh senang banget ya thanks avoskin,positif
316,terima kasih,positif
317,kali beli serum,netral
318,bagus barang recomended,positif
319,bahan ringan gampang serap,netral
320,terima kasih layan bantu maksimal toko barang selamat,positif
321,proses terima barang panjanhmg awal salah terima kasih toko usaha hubung kurir barang selamat terima kasih sicepat tanggung moga pakai coba,netral
322,mantap pakai banget jalan kirim banget,positif
323,barang aman kirim cekoutnya dekat suka banget exp nya thanks avoskin,positif
324,coba kali moga cocok,positif
325,barang aman tuju promo langsung beli xixixi cocok banget kulit ku kombinasi deh repurchase kali ya lupa,positif
326,bintang guys kali coba mudah cocok muka ku kemas rapi aman banget perfect kirim lumayan jakarta,positif
327,murah habis,positif
328,barang aman pakai kali lengket cepat kering langsung resap pakai bulan mudah han efek,positif
329,coba,netral
330,cocok,positif
331,lucu banget kaca beli kaca terima kasih avoskinn moga cocok serum,positif
332,gapapa pesan bonus kaca,positif
333,kecewa tutup dalam seprti tempel tutup terima kasih bonus kaca,positif
334,coba moga cocok kulit packing super aman terima kasih bonus cermin lipat moga berkah,positif
335,coba moga cocok kulit emas ama banget dobel kardus paper wrap kirim wajar jogja bdg thanks kasih bonus moga berkah,positif
336,minggu nih kalo belanja anyway thank you for the gift,netral
337,paket lama terima beli des des hayo,negatif
338,moga bagus bulu mata ya,positif
339,produk bagus cocok melembabkan bibir kering kirim aman cepat,positif
340,oke cocok kulit,positif
341,ihiww bonus thank you,positif
342,kirim,netral
343,kali coba kirim aman free cermin terima kasih avoskin,positif
344,aman bahagia bonus langgan kali beli thank you avoo,positif
345,tunggu banget kirim jakarta timur jawa timur moga cocok pakai beli travel size emas aman,positif
346,skin type kombinasi skin concern kulit kusam tekstur kasar tua barusan pakai malam tekstur kental warna bening bau usap wajah butuh kali serap tau efek muka mesti tunggu besok pagi overall oke,negatif
347,senang banget iseng war harga doang coba coba susu recommended pakai bumil busui moga cocok thank you avoskin,positif
348,wishlist penuh cari pelembab cerah moist tokped murah terima kasih avoskin tokped,positif
349,salah comfort serum bikin kulit halus lembut,positif
350,tekstur kental pakai moga sesuai klaim,positif
351,iseng coba produk avoskin juara pakai malam bangun tidur wajah auto cerah plumpy minyak pakai serum,positif
352,coba moga cocok bikin kering,positif
353,turut sih exfoliating toner baik tau deh botol berapa saking cinta,positif
354,suka alhamdulillah cocok,positif
355,eye ampoule nya mudah resap kali maki timbul alergi,positif
356,bagus banget minggu coba benar bagus kalo habis bangun tidur lembab lembut name tag lucu terima kasih ya,positif
357,butek ya serum min coba alpha arbutin pakai niacinemed lihat hasil habis pakai,netral
358,terima kasih paket exp mash,positif
359,harga ribu exp terima kasih avoskin,positif
360,hoki banget terima kasih avoskin,positif
361,cocok pakai bekas jerawat hilang,negatif
362,ringan enak banget pakai,positif
363,coba ngabisin next review kalo hasil,netral
364,cocok banget oily skin kayak,positif
365,pakai rasa halus muka,positif
366,persis sesuai order customer service responsif packaging solid delivery gesit patut acung ol,positif
367,barang aman packinya aman kali pakai moga cocok,positif
368,coba alpha arbutin barang aman kirim cepat kecewa,positif
369,repurchase kali nya lactid acid avoskin product exfo ganti deh lanjur cinta bagus banget kirim cepat adminnya responsif,positif
370,beli bagus skalian nyetok beli sukses ovoskin,positif
371,coba moga cocok kirim rada respon customer service cepat nice,positif
372,bagus,positif
373,gemas packagingnya emas rapi aman cocok pakai produk avoskin nutrisi bibir melembabkan kurang kerut pasti cerah bibir cus order ya,positif
374,wiiii terima kasih banget avoskin checkout pas potong fast banget cuman hari bismillah moga cocok,positif
375,produk bagus kalo digabungin serum bau enak,netral
376,kulit overnight fluffy,netral
377,toner andal sih,netral
378,produk oke layan proses barang checkout pegang kurir,positif
379,cocok banget sunscreen terima kasih,positif
380,diskon ongkir kirim lambat mending ongkir normal barang cepat butuh barang,netral
381,proses pesan cepat,positif
382,test,netral
383,lihat review textured skin coba moga ampuh ya,netral
384,sesuai sip coba sih,positif
385,kirim cepat emas pokok bagus deh moga habis repurchase,positif
386,moga cocok,positif
387,sip,netral
388,tunggu minggu barang tau nya zonk tuker cancel barang kirim nya barang tukar konfirmasi,netral
389,toner pecah tau jual kirim kecewa avoskin tangan cepat rugi barang rugi waktu tunggu proses komplain,netral
390,gue beli serum lactic acid kirim jeroan tamia sial tanggung avoskin ekspedisi sih lelet blunder angkat tangan solutif duit hilang barang,negatif
391,tonernya tekstur cair serum tekstur kental mudah mudah cocok kalo coba mending beli travel kit,positif
392,avoskin ragu,netral
393,kirim packingannya rapi banget,positif
394,baca deskripsi exp nya tau harga diskon banget kirim cepat thankyou banget avoskin,positif
395,bagus banget muka kering cocok kulit sensitif minyak,positif
396,melembabkan banget tekstur kental cepat banget nyerepnya,positif
397,beli cocok kulit bikin iritasi,positif
398,order polypeptide terima aqua ceramide,netral
399,produk sesuai deskripsi jual recommended seller,positif
400,pakai cocok bikin kulit kering,positif
