Review,Removedup,Sentimen
"it's beautiful package, bintang 5 buat safety nyaâœ¨ğŸ™",it  beautiful package bintang buat safety nya,Positif
tipe kulitku kering,tipe kulitku kering,Netral
"pengiriman agak lama karena beda provinsi, tapi gapapa. packingnya aman banget, semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak",pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif
top..,top,Positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
exp 0525,exp,Positif
No review found,no review found,Positif
pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru. mungkin sktr 4 tahun yang lalu masih belum viral perskincare an . semenjak hamil ud stop pake produk bayi aja. ini mau coba lagi karena kangen sensasinya waktu make dulu.  emang feelnya beda.. tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral
tipe kulitku berminyak,tipe kulitku berminyak,Netral
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,Netral
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif
barang sesuai pesanan,barang sesuai pesanan,Positif
"pengiriman oke, saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan",pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif
"moga cocok, soalnya dulu cocok bgt pake ini ğŸ˜",moga cocok soalnya dulu cocok bgt pake ini,Positif
Pengiriman cepat mantabbb,pengiriman cepat mantabbb,Netral
Alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok.. thank you kurir SiCepat & Team Avoskin,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif
Bahannya gampang menyerap,bahannya gampang menyerap,Netral
Bagussss,bagussss,Netral
Baguusssssss,baguusssssss,Netral
Okelahhhhhhhh,okelahhhhhhhh,Negatif
dapat gratis mini pouch.. makasih... semoga cocok,dapat gratis mini pouch makasih semoga cocok,Netral
alhamdulillah barangnya udah sampai. semoga ccok dan selau dpt harga diskon yess,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif
Cocok sama produknya,cocok sama produknya,Positif
Sudah berkali-kali beli di toko official ini dan setiap kali pembelian selalu amanah. thx,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif
barang nya oke,barang nya oke,Positif
repeat order,repeat order,Netral
masalah kulitku pori besar,masalah kulitku pori besar,Negatif
"ini beda nih dari pertama beli wkwk first time nyobain jatuh cinta bgt, waktu itu pilih shade strawberrypine sama raspberry muffin. trus ini pembelian kedua, ngerasa ini formulanya beda bgt. ini lebih berminyak tapi short-lasting wkwk masa iya abis minum aer ilang, lah coba itu rugi dong ğŸ˜­ ğŸ«µ udahlah, aku pindah haluan aja, byeee âœ¨",ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar, overall worth it",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral
kecepatan pengiriman baik. ada bubble warp.,kecepatan pengiriman baik ada bubble warp,Netral
tipe kulitku sensitif  masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
dpt harga ceban yay. blm dicoba,dpt harga ceban yay blm dicoba,Netral
"pembelian kesekian kalinya. cocok di muka apalagi klo pas jerawatan, kulitnya tetep bs bnafas",pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
ternyata dapet 2 ya. baru pertama kali semoga cocok,ternyata dapet ya baru pertama kali semoga cocok,Netral
"mudah2an cocok, terima kasihğŸ‘ğŸ»",mudahan cocok terima kasih,Positif
udh sering beli ini dan selalu cocok,udh sering beli ini dan selalu cocok,Netral
barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya,Netral
"packing nya bagus bgt utk cream dg hrg segitu. tekstur ringan cepet meresap di kulit, ga ada bau menyengat samsek. semoga cocok di kulit aku yg kering tp bruntusan.  tq.",packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
terima kasih...,terima kasih,Netral
"Bahannya ringan, mudah menyerap cocok di kulit aku yg berjerawat. gak bikin breakout. The best pokoknyağŸ‘ğŸ»ğŸ‘ğŸ»",bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat,Netral
tipe kulitku kombinasi,tipe kulitku kombinasi,Netral
"tipe kulitku berminyak masalah kulitku pori besar ,original 100%  terimakasih.",tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
"bahannya ringan, cocok digunakan",bahannya ringan cocok digunakan,Positif
"tipe kulitku berminyak, baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk",tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
"barang datang sesuai, packing nya aman serta pengiriman cepat",barang datang sesuai packing nya aman serta pengiriman cepat,Netral
"Berasa cerah jika sudah pakai, cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg",berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
"udah beberapa tahun pake emang cocok, karena ga white cast gitu, nyaman, ringan juga, thanks seller tipe kulitku kombinasi",udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
warnanya cantik bangettt,warnanya cantik bangettt,Netral
cocok di tipe kulitku kombinasi,cocok di tipe kulitku kombinasi,Netral
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana.",jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana. 
Baru sekali pake produk yang ini, oke banget pas dipake ke kulit. Cocok. Suka sama packing barunya.",jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
Cocok di kulit berminyak Kemasannya lucu ğŸ˜†,cocok di kulit berminyak kemasannya lucu,Netral
"bahannya ringan, cepet meresap terus packaging nya ok banget",bahannya ringan cepet meresap terus packaging nya ok banget,Netral
Terima kasih banyak paket sudah sampai dengan selamat,terima kasih banyak paket sudah sampai dengan selamat,Netral
Barang bagus sesuai packing mantap terima kasih ğŸ˜ŠğŸ™.,barang bagus sesuai packing mantap terima kasih,Netral
Gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti2 lagi,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
Produk sangat bangus! langsung menyerap dan membuat lembab!,produk sangat bangus langsung menyerap dan membuat lembab,Netral
Udah repurchase berkali2. Produk simple dan efektif. Packaging jg simple dan aman,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
"Cocok di kulit saya, tekstur ringan dan sangat cepat menyerap di kulit. Super recommended.",cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
baru pertama kali beli skin game mudah mudahan cocok,baru pertama kali beli skin game mudah mudahan cocok,Negatif
"Akhirnyaaa menemukan moisturizer yg cocokkk!! Moistnya ringan, dan cepet menyerap. Aku udah make 2tube. 1tube bisa dipake 2bulan lebih. Tergantung pemakaiannya.",akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Netral
"baguss, semoga cocok ğŸ’—",baguss semoga cocok,Netral
baru mau dicoba semoga cocok,baru mau dicoba semoga cocok,Positif
produk ori dan aman. kakak adminnya juga ramah banget. bakal repurchase lagiii deh kayaknya,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
"pengiriman dan pengemasan cepat bgt aman produk sesuai , udh pernah coba dan lumayan bikin jerawat cpt mateng. thankyou",pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
"Baunya agak aneh, apek dan bau besi seperti dr tempatnya. Saya pernah pakai sabun lain yg tanpa bau, tp ga pernah spt ini. Jd kurang nyaman pakainya dan sampai skrg masih ada",baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Netral
"Dari dulu, selalu jadi langganan untuk solusi kalau lagi jerawatan. Bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail. I love you 3000 kembali serebu. ğŸ¤ğŸ¤ğŸ¤",dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
"barang sampai dgn selamat, packagingnya jg aman. semoga cocok!",barang sampai dgn selamat packagingnya jg aman semoga cocok,Positif
"warna nya kuning, entah karena apa",warna nya kuning entah karena apa,Netral
"baru pertama kali coba, semoga cocok thank you seller",baru pertama kali coba semoga cocok thank you seller,Positif
barang sampai dgn selamat,barang sampai dgn selamat,Negatif
packing rapi dan aman. barang sesuai pesenan,packing rapi dan aman barang sesuai pesenan,Netral
This moisturizer is seriously a game changer. I love how one bottle could last me months,this moisturizer is seriously  game changer  love how one bottle could last me months,Netral
baeu nyoba pertama kali. smoga bisa cocok krn reviewnya bagus,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
Mantap sesuaiii semoga cocok,mantap sesuaiii semoga cocok,Netral
Tadinya mau beli diofflinestore tp mahal bgt 99k pas cek dionline store nya cuma 65k karena dpt potongan sm lg flashsale langsung beli,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
makasiihh ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,makasiihh,Positif
ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ» makasih,makasih,Netral
makasiihh ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘.. tp tumben ga ada gift nya ğŸ¤ª,makasiihh tp tumben ga ada gift nya,Netral
"tipe kulitku berminyak masalah kulitku jerawat
Semoga cocok sama rangkaian ini 
Terimakasih",tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
Stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
Bagus,bagus,Positif
Pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan. Expired datenya 08 dan 09.2026,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
"cocok dikulit saya, ngak kering atau ketarik, pengiriman cepet, mantull",cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
"lipstiknya mudah patah, saran kalau pakai jangan diulur terlalu panjang.",lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
"barang lengkap, packing aman dan rapi. belum coba productnya. semoga cocok. tipe kulitku normal",barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
"Bacanya review nya bagus2, mudah2an jg cocok. Terima kasih bonusnya, pas banget pas lagi butuh..",bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
Cocok dikulit. Sebelum pakai jerawat 2 biji di pipi agak meradang. Malam dikasih besoknya udh mendingan dan kempes.,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
Sebenarnya bagus. Tapi di aq jatuhnya bikin bibir agak kering. Walaupun sebelum pake lipstick udh pakai lipbalm. Warnanya pigmented bgt. Merah queennya bagus bgt,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
"Exp date msh lama,pengirimannya jg cepat,dapet diskonnya lumayan lagiğŸ˜,,thanks somethinc ğŸ‘ğŸ‘",exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
"semoga cocok di kulitku yg sensitif ini, karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout!â¤ï¸",semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
Belum dicoba. smg cocok,belum dicoba smg cocok,Netral
tipe kulitku kombinasi,tipe kulitku kombinasi,Netral
sesuai deskripsi,sesuai deskripsi,Positif
"paket aman, semoga cocok.",paket aman semoga cocok,Positif
masalah kulitku pori besar,masalah kulitku pori besar,Netral
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
"kiriman cepat, packing bagus",kiriman cepat packing bagus,Positif
Sesuai dengan deskripsi,sesuai dengan deskripsi,Positif
"ingredients nya bikin penasaran jd pengen cobain, sejauh ini selalu repurchase produk avo dan selalu cocok aaaağŸ˜",ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
"pengirimannya lama bgt, tolong diganti kurirny",pengirimannya lama bgt tolong diganti kurirny,Negatif
"Pengemasan okeyy....
semoga cocok",pengemasan okeyy semoga cocok,Positif
Ok. Semoga cocok,ok semoga cocok,Netral
"Bintang 3 karena pertamanya dikirimin yg expired 06/24 sedangkan pembelian harga normal. Sebelum beli sudah chat tanya perbedaan harga normal dan sale (sale expired 2024 dan normal expired 2025/2026) Walaupun akhirnya bisa return dan ganti yg expired 2025 tp proses return nya itu ribet bgt. Terutama pihak expedisi sicepat yg tdk segera pick up sampai 3hari. Maksudnya kalau dr awal teliti, saya ga perlu buang waktu untuk ngurusin return nya. Semoga kedepannya makin teliti yaa. Untuk packing sudah aman, bagus, admin juga responsive. Thank you",bintang karena pertamanya dikirimin yg expired sedangkan pembelian harga normal sebelum beli sudah chat tanya perbedaan harga normal dan sale sale expired dan normal expired walaupun akhirnya bisa return dan ganti yg expired tp proses return nya itu ribet bgt terutama pihak expedisi sicepat yg tdk segera pick up sampai hari maksudnya kalau dr awal teliti saya ga perlu buang waktu untuk ngurusin return nya semoga kedepannya makin teliti yaa untuk packing sudah aman bagus admin juga responsive thank you,Negatif
Packing aman dan expired masih lama 06/25,packing aman dan expired masih lama,Positif
"huhu serum nya udah dateng, cepet banget pengiriman. beli dapet harga diskon. baru pertama pakai ini semoga cocok di muka ku ğŸ˜Š tipe kulitku normal",huhu serum nya udah dateng cepet banget pengiriman beli dapet harga diskon baru pertama pakai ini semoga cocok di muka ku tipe kulitku normal,Positif
tipe kulitku sensitif,tipe kulitku sensitif,Netral
Ini kenapa paket saya di lempar sama kurir ya? Ud jelas jelas ada tulisan fragile di dusnya,ini kenapa paket saya di lempar sama kurir ya ud jelas jelas ada tulisan fragile di dusnya,Negatif
"Barang sudah sampai, baru pertama kali mencoba semoga cocok",barang sudah sampai baru pertama kali mencoba semoga cocok,Netral
SERUM TERBAIK BUAT MEMPERBAIKI SKIN BARIER YG RUSAK.. Pake serum ini sejak 2022 dan hasilnya jerawatku ga pernah muncul lagi dan kulitku jd ga pernah rewel lagi.. please jangan sampe ga produksi lagi serum ini karena udah jd p3k kulit aku,serum terbaik buat memperbaiki skin barier yg rusak pake serum ini sejak dan hasilnya jerawatku ga pernah muncul lagi dan kulitku jd ga pernah rewel lagi please jangan sampe ga produksi lagi serum ini karena udah jd pk kulit aku,Positif
"mencari alternatif ingredients yang bisa menyamarkan bekas jerawat aku karena ga cocok sama vit. c, niacin, dan alpha arbutin",mencari alternatif ingredients yang bisa menyamarkan bekas jerawat aku karena ga cocok sama vit  niacin dan alpha arbutin,Netral
"dulu udh pernah make dan ngefek bgt ke kulit, bikin jd lembab dan gak beruntusan tp dibarengin sm refining tonernya jg ^^",dulu udh pernah make dan ngefek bgt ke kulit bikin jd lembab dan gak beruntusan tp dibarengin sm refining tonernya jg,Positif
"Pesan tanggal 1 dikirim tanggal 5, padahal tgl 6 sdh harus dibawa terbang. Kecewa karena sdh dua kali mendapatkan pelayanan yg kurang menyenangkan. Padahal produk bagus dan sdh menjadi pengguna tetap avoskin",pesan tanggal dikirim tanggal padahal tgl sdh harus dibawa terbang kecewa karena sdh dua kali mendapatkan pelayanan yg kurang menyenangkan padahal produk bagus dan sdh menjadi pengguna tetap avoskin,Negatif
"bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman + gak ada bublewrapnya, padahal perjalanan jauh dari sidoarjo sampe jakarta.",bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,Negatif
"pengirimannya pake sicepat tapi sangat lambat hihi,udh ada d gudang tgl 23/24 baru diantar ke rmh tgl 27,sayang banget ga sesuai nama",pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,Negatif
paket diterima dengan keadaan baik,paket diterima dengan keadaan baik,Positif
"baru pertama pakai, semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi",baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,Netral
fast respon,fast respon,Positif
Niceeeee,niceeeee,Positif
"Worth the price, 2 pcs dapat harga 60k cashback 8kğŸ¤“",worth the price pcs dapat harga  cashback ,Netral
thx yağŸ˜‰ğŸ˜Š,thx ya,Positif
agak kecewa sm pengemasannya. kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya. untung paketnya aman,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
"packing aman banget , semoga cocok",packing aman banget semoga cocok,Positif
"alhamdulillah aku cocok pakai azarine, kulit wajah ku perlahan teratasi dgn azarine, thanks azarine ğŸ‘ğŸ¤—ğŸ’—ğŸ’—",alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
"Repurchased, nda bikin kusam, affordable ğŸ˜„",repurchased nda bikin kusam affordable,Netral
Barang bagus sesuai packing mantap terima kasih ğŸ˜ŠğŸ™.,barang bagus sesuai packing mantap terima kasih,Positif
Gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti2 lagi,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Positif
Produk sangat bangus! langsung menyerap dan membuat lembab!,produk sangat bangus langsung menyerap dan membuat lembab,Positif
Udah repurchase berkali2. Produk simple dan efektif. Packaging jg simple dan aman,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Positif
"Cocok di kulit saya, tekstur ringan dan sangat cepat menyerap di kulit. Super recommended.",cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
baru pertama kali beli skin game mudah mudahan cocok,baru pertama kali beli skin game mudah mudahan cocok,Negatif
"Akhirnyaaa menemukan moisturizer yg cocokkk!! Moistnya ringan, dan cepet menyerap. Aku udah make 2tube. 1tube bisa dipake 2bulan lebih. Tergantung pemakaiannya.",akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Negatif
"baguss, semoga cocok ğŸ’—",baguss semoga cocok,Positif
baru mau dicoba semoga cocok,baru mau dicoba semoga cocok,Positif
produk ori dan aman. kakak adminnya juga ramah banget. bakal repurchase lagiii deh kayaknya,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
"pengiriman dan pengemasan cepat bgt aman produk sesuai , udh pernah coba dan lumayan bikin jerawat cpt mateng. thankyou",pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
"Baunya agak aneh, apek dan bau besi seperti dr tempatnya. Saya pernah pakai sabun lain yg tanpa bau, tp ga pernah spt ini. Jd kurang nyaman pakainya dan sampai skrg masih ada",baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Negatif
"Dari dulu, selalu jadi langganan untuk solusi kalau lagi jerawatan. Bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail. I love you 3000 kembali serebu. ğŸ¤ğŸ¤ğŸ¤",dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
isinya dikit banget sampe bingung kirain ga ada isinya,isinya dikit banget sampe bingung kirain ga ada isinya,Negatif
ringan di kulit. warna pas.,ringan di kulit warna pas,Netral
"cepet nyampenyaa,ringan sesuai namanya tinted sunscreen tapi masih bisa buat nutupin kemerahan,aku sebelumnya nyoba shade nina tapi malah jadi kusem dan kuning akhirnya nyoba shade butter dan pass ğŸ˜»",cepet nyampenyaa ringan sesuai namanya tinted sunscreen tapi masih bisa buat nutupin kemerahan aku sebelumnya nyoba shade nina tapi malah jadi kusem dan kuning akhirnya nyoba shade butter dan pass,Netral
"cepet nyampenyaa,teksturnya agak creamy,smugeproof juga lohh tp warnanya agak kurang pigment",cepet nyampenyaa teksturnya agak creamy smugeproof juga lohh tp warnanya agak kurang pigment,Negatif
"Teksturnya ringan mudah menyerap kulit, udh ada spf nya jd kl dipake daily pun ok, wlwpn ga full coverage tp bisa menutupi warna tdk merata dimuka.. bakalan repurchase ini..",teksturnya ringan mudah menyerap kulit udh ada spf nya jd kl dipake daily pun ok wlwpn ga full coverage tp bisa menutupi warna tdk merata dimuka bakalan repurchase ini,Negatif
"pengiriman cepat , packing oke , thanks !",pengiriman cepat packing oke thanks,Netral
"suka sm warnanya, next order warna lain",suka sm warnanya next order warna lain,Netral
"tipe kulitku berminyak
alhamdulillah cocok... thanks",tipe kulitku berminyak alhamdulillah cocok thanks,Netral
"Beli serum ini pas dapet harga flash sale, lumayan banget diskonnya. Packing Oke, pengiriman lumayan cepat. 
Produknya belum dicoba jadi belum bisa kasi nilai.",beli serum ini pas dapet harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya belum dicoba jadi belum bisa kasi nilai,Positif
"Jujur buat aku gak cocok, tapi aku gapaham skincare dan cenderung asal beli. cuma sepertinya ini works deh kalo emanh cocok tipe kulitnya. Feel dimukanya setelah dipake agak lengket menurut aku, jadi gabisa tidur miring, trus bukan tipe skincare yang kalo kena angin adem mukanya. cuma yaudah salahku.",jujur buat aku gak cocok tapi aku gapaham skincare dan cenderung asal beli cuma sepertinya ini works deh kalo emanh cocok tipe kulitnya feel dimukanya setelah dipake agak lengket menurut aku jadi gabisa tidur miring trus bukan tipe skincare yang kalo kena angin adem mukanya cuma yaudah salahku,Negatif
Hasil akhir bagus kaya kulit kita tapi bersi yg sehat ğŸ˜,hasil akhir bagus kaya kulit kita tapi bersi yg sehat,Negatif
